"PhoInd_05_10"	"confInt(1.6σ)_05_10"	"kT_norm_05_10"	"confInt_05_10(1.6σ)"	"PL_norm_05_10"	"PL_norm_confint"	"kT_05_10"	"confInt(1.6σ)_05_10"		"obsflux_05_10(1.6σ)"	"confInt_05_10(1.6σ)"	"Lum_05_10(1.6σ)"	"confInt_05_10(1.6σ)"		"confInt_05_10(3σ)"	"confInt_05_10(3σ)"		"obsflux_2_10(1.6σ)"	"confInt_2_10(1.6σ)"	"Lum_2_10(1.6σ)"	"confInt_2_10(1.6σ)"		"confInt_2_10(3σ)"	"confInt_2_10(3σ)"
5.16593	(1.73,0)	2.1078e-05	(1.0740e-05,3.4203e-05)	2.0	(0,0)	7.6113e-07	(0.0000e+00,1.1758e-06)		3.0193e-14	(1.5378e-14,4.8944e-14)	7.9801e+37	(4.0645e+37,1.2936e+38)		(6.1376e-15,6.7484e-14)	(1.6222e+37,1.7836e+38)		2.3073e-14	(1.1752e-14,3.7402e-14)	6.0983e+37	(3.1060e+37,9.8857e+37)		(4.6903e-15,5.1558e-14)	(1.2397e+37,1.3627e+38)
0	(0,0)	0.0000e+00	(0.0000e+00,0.0000e+00)	2.0	(0,0)	0.0000e+00	(0.0000e+00,0.0000e+00)		1.0000e+00	(1.0000e+00,1.0000e+00)	2.6431e+51	(2.6431e+51,2.6431e+51)		(1.0000e+00,1.0000e+00)	(2.6431e+51,2.6431e+51)		1.0000e+00	(1.0000e+00,1.0000e+00)	2.6431e+51	(2.6431e+51,2.6431e+51)		(1.0000e+00,1.0000e+00)	(2.6431e+51,2.6431e+51)
0	(0,0)	0.0000e+00	(0.0000e+00,0.0000e+00)	2.0	(0,0)	0.0000e+00	(0.0000e+00,0.0000e+00)		1.0000e+00	(1.0000e+00,1.0000e+00)	2.6431e+51	(2.6431e+51,2.6431e+51)		(1.0000e+00,1.0000e+00)	(2.6431e+51,2.6431e+51)		1.0000e+00	(1.0000e+00,1.0000e+00)	2.6431e+51	(2.6431e+51,2.6431e+51)		(1.0000e+00,1.0000e+00)	(2.6431e+51,2.6431e+51)	
